defense_id,description,attention_mask,position_ids,train_num_permutations,lambda_perm,retrained,ndcg_at_10,promo_at_5_irrelevant,tau_kendall,curve_range_irrelevant,rank_gain_irrelevant,forward_passes_per_query,exact_invariant,notes
baseline_causal,"Standard causal attention + RoPE (no defense) = the anchor causal model",causal,standard,1,0.0,no (reused official adapter),0.829,0.120,0.8451,3.09,3.34,1,no,"= anchor causal on MovieLens, official 10000-user run"
A_architectural_invariance,"Structured cross-candidate attention mask + shared candidate position ids",block,shared,1,0.0,no (reused official adapter),0.784,0.000,0.9916,0.06,0.22,1,yes,"= anchor invariant on MovieLens, official run"
A1_mask_only,"Structured mask only, standard positions -- isolates the attention channel",block,standard,1,0.0,yes,0.783,0.070,0.9190,0.84,1.95,1,no,"mechanism ablation for RQ5"
A2_position_only,"Causal mask, shared positions -- isolates the RoPE channel",causal,shared,1,0.0,yes,0.769,0.090,0.8771,1.68,2.57,1,no,"mechanism ablation for RQ5; A1<A2 promo => attention channel dominates"
B1_order_augmented_training,"Causal, trained with 8 random permutations per sample (data augmentation)",causal,standard,8,0.0,yes,0.849,0.117,0.8621,2.60,3.35,1,no,"FAILS to close the attack surface (0.117 approx baseline's 0.120) -- the intuitive fix does not work"
B2_permutation_consistency_kl,"Causal, trained with a permutation-consistency KL loss (2 perms/sample, lambda_perm=1.0)",causal,standard,2,1.0,yes,0.777,0.007,0.9834,0.21,0.37,1,approx,"near-zero attack surface without changing the architecture"
C_test_time_avg_P1,"Causal baseline, scored with P=1 permutation (identical to baseline_causal)",causal,standard,N/A (eval-only),N/A,no,0.8252,N/A,N/A,N/A,N/A,1,no,"irrelevant_into_top5=0.121; this is a content-only base rate, not promo@5 (no order search performed at P=1)"
C_test_time_avg_P5,"Causal baseline, scores averaged over 5 random permutations at inference",causal,standard,N/A (eval-only),N/A,no,0.8475,N/A,N/A,N/A,N/A,5,no,"irrelevant_into_top5=0.119"
C_test_time_avg_P10,"Causal baseline, scores averaged over 10 random permutations at inference",causal,standard,N/A (eval-only),N/A,no,0.8471,N/A,N/A,N/A,N/A,10,no,"irrelevant_into_top5=0.119"
C_test_time_avg_P20,"Causal baseline, scores averaged over 20 random permutations at inference",causal,standard,N/A (eval-only),N/A,no,0.8476,N/A,N/A,N/A,N/A,20,no,"irrelevant_into_top5=0.118. CAVEAT: paper text reports this defense's promo@5 as '~0' by INFERENCE (order-dependence shrinks as P grows), but adversarial_perm.py was never actually re-run against the P-averaged scorer to measure a literal promo@5 for this defense. This is an approximation, not a directly measured number -- flagged as a follow-up experiment."
pointwise_reference,"Each candidate scored in complete isolation (its own prompt, no other candidates in context) using the causal adapter",N/A,N/A,N/A,N/A,no (inference-mode ablation of the causal adapter),0.7628,0,N/A,0,N/A,25,yes,"nDCG@5=0.6482, HR@10=1.0, n=500 queries. Invariant by construction (no shared context to exploit) but O(K)=O(25) cost and lowest quality of any defense."
